"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"91";91;"Austria";"AUT";"Austria";"18/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://www.derstandard.at/jetzt/livebericht/2000115596552/coronavirus-schulschliessungen-werden-vorbereitet-wirtschaft-leidet?responsive=false"
"92";92;"Austria";"AUT";"Austria";"18/03/2020";"Social distancing";"Closure of educational institutions";"Closure of educational institutions";"Closure of kindergartens";"";"https://www.derstandard.at/jetzt/livebericht/2000115645725/coronavirus-einreiseverbot-fuer-europaeer-in-die-usa"
"93";93;"Austria";"AUT";"Austria";"18/03/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"38 billion euros";"";"https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/hilfspaket-von-bis-zu-38-milliarden-euro-zur-bewaeltigung-der-coronavirus-Folgen.html"
"94";94;"Austria";"AUT";"Austria";"18/03/2020";"Risk communication";"Educate and actively communicate with the public";"Activate communication to the public";"Message for pregnant women, elderly and at risk profesions";"";"https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/schwangere-aeltere-und-personen-mit-vorerkrankungen-schuetzen.html"
"95";95;"Austria";"AUT";"Austria";"18/03/2020";"Social distancing";"Measures for special populations";"Measures to limit contact to the elderly";"Some supermarkets offer one hour for people at risk (elderly people)";"Billa, Lidl, Hofer";"https://www.vienna.at/von-8-bis-9-supermaerkte-mit-oeffnungszeiten-fuer-senioren/6558302"
"96";96;"Austria";"AUT";"Austria";"18/03/2020";"Social distancing";"Measures for special populations";"More exposed professionals (not healthcare)";"Cashiers";"Installments of plexiglass pane for cahsdesks";"https://www.kleinezeitung.at/wirtschaft/5786398/Sicherer-Einkauf_Supermaerkte-errichten-Plexiglasschutzwaende-an"
"97";97;"Austria";"AUT";"Tyrol";"18/03/2020";"Travel restriction";"Cordon sanitaire";"One region";"";"n Tyrol, all 279 communities have been quarantined since midnight.";"https://www.derstandard.at/jetzt/livebericht/2000115867752/coronavirus-auch-soelden-und-st-christoph-unter-quarantaene-eu-beschliesst?responsive=false"
"98";98;"Austria";"AUT";"Austria";"19/03/2020";"Social distancing";"Small gathering cancellation";"Partial closure of public spaces";"parks, playgrounds";"";"https://www.derstandard.at/jetzt/livebericht/2000115867752/coronavirus-auch-soelden-und-st-christoph-unter-quarantaene-eu-beschliesst"
"99";99;"Austria";"AUT";"Vienna";"19/03/2020";"Travel restriction";"Cancellation of international flights";"Total";"Last regular AUA flight lands in Vienna";"Third-country nationals are prohibited from entering Austria by air from outside the Schengen area until further notice.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"100";100;"Austria";"AUT";"Vienna";"19/03/2020";"Case identification, contact tracing and related measures";"Quarantine";"All incomings";"";"Austrian citizens, EU citizens and foreigners who are entitled to stay are obliged to enter a 14-day self-monitored home quarantine immediately after entering Austria by airand to confirm this with their own signature, unless the immediate departure is ensured.";""
"101";101;"Austria";"AUT";"Austria";"20/03/2020";"Risk communication";"Educate and actively communicate with the public";"";"";"All corona measures are being extended until April 13";""
"102";102;"Austria";"AUT";"Austria";"20/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential travel forbidden";"";"";"https://www.bmeia.gv.at/en/"
"103";103;"Austria";"AUT";"Austria";"20/03/2020";"Social distancing";"Return operation of nationals living abroad";"Quarantine";"Last returns";"Furthermore, return flights on the Austrian Foreign Ministry organizes, it currently runs the largest recall campaign of the country's history. Over 47,000 registered Austrians are abroad and the BMEIA does everything possible to support the return from over 100 countries around the clock. The BMEIA therefore asks all travelers to register in order to be able to react appropriately in an emergency.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"104";104;"Austria";"AUT";"Austria";"20/03/2020";"Social distancing";"Small gathering cancellation";"Mandatory home office";"Place of work may only be entered if work cannot be done at home";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"105";105;"Austria";"AUT";"Austria";"21/03/2020";"Social distancing";"Small gathering cancellation";"Closure of rehabilitation institutions";"";"";"https://www.derstandard.at/jetzt/livebericht/2000115917628/ganz-tirol-steht-seit-mitternacht-unter-quarantaene"
"106";106;"Austria";"AUT";"Austria";"20/03/2020";"Travel restriction";"Border restriction";"Border control extended";"Liechtenstein, Slovenia";"Controls are also carried out at the borders with Liechtenstein, and controls have also been carried out at the crossings to Slovenia since March 20, 2020. Border controls with Germany were also considered in order to assess dangerous situations such as long traffic jams in transit traffic in Austria in accordance with the respective developments in Hungary, Romania, Serbia and Bulgaria.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"107";107;"Austria";"AUT";"Austria";"23/03/2020";"Risk communication";"Educate and actively communicate with the public";"Promote social distancing measures";"";"The population continues to be asked to reduce their social contacts. Only those direct contacts should be maintained that are absolutely necessary and are otherwise used by telephone or other technical means. Everyone can make a valuable contribution in the fight against the spread of the corona virus.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"108";108;"Austria";"AUT";"Austria";"23/03/2020";"Resource allocation";"Crisis management plans";"Traffic enactments";"";"The Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology (BMK) has passed several decrees for special and exemption regulations in transport.";"https://www.bmk.gv.at/service/corona/sonderregelungen.html"
"109";109;"Austria";"AUT";"Austria";"23/03/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Covid-19 at a notifiable disease";"";"two AUA machines from China landed in Vienna-Schwechat on Monday afternoon, carrying 130 tons of protective equipment. The material is to be brought to Tyrol as a convoy on Tuesday and some of it will also be handed over to the Italian authorities across the border of South Tyrol.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"110";110;"Austria";"AUT";"Austria";"30/03/2020";"Risk communication";"Educate and actively communicate with the public";"Corona dashboard";"";"Interactive map shows Corona cases in Austria in real time On the dashboard of the Ministry of Health , the current figures for COVID-19 infected for all federal states and districts can be called up.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"111";111;"Austria";"AUT";"Austria";"30/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"";"Third-country nationals are prohibited from entering Austria by air from outside the Schengen area until further notice. Freight, operational, ambulance and transfer flights as well as members of the staff of diplomatic missions, employees of international organizations, humanitarian aid workers, nursing and health personnel, transit passengers and people who work in freight transport are also excluded.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"112";112;"Austria";"AUT";"Austria";"30/03/2020";"Case identification, contact tracing and related measures";"Quarantine";"All incomings";"self-monitored home quarantine";"Austrian citizens, EU citizens and foreigners who are entitled to stay are obliged to enter a 14-day self-monitored home quarantine immediately after entering Austria by airand to confirm this with their own signature, unless the immediate departure is ensured.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"113";113;"Austria";"AUT";"Austria";"30/03/2020";"Travel restriction";"Border restriction";"Border control extended";"Germany";"To limit the spread of the Corona virus, the Federal Ministry of the Interior introduced internal border controls on Italy, Switzerland, Liechtenstein and Germany";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"114";114;"Austria";"AUT";"Austria";"30/03/2020";"Social distancing";"Mandatory use of masks";"In special cases";"In supermarkets";"wearing protective masks in supermarkets is mandatory";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"115";115;"Austria";"AUT";"Austria";"30/03/2020";"Social distancing";"Measures for special populations";"Vulnerable populations";"Mandatory home office";"mandatory exemption from the job or home office";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"116";116;"Austria";"AUT";"Austria";"01/04/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Face masks";"For the population";"Mouth and nose protection is becoming a must, keeping your distance is important. Mouth and nose protection can make airborne transmission more difficult - distribution by supermarket chains";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"117";117;"Austria";"AUT";"Austria";"14/04/2020";"Social distancing";"Mandatory use of masks";"In special cases";"Public transports";"The requirement for mouth-nose protection currently applicable to supermarkets will be extended to all shops from April 14. From April 14th, mouth-nose protection is also mandatory in public transport.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"118";118;"Austria";"AUT";"Austria";"14/04/2020";"Social distancing";"Mandatory use of masks";"In special cases";"All shops";"The requirement for mouth-nose protection currently applicable to supermarkets will be extended to all shops from April 14. From April 14th, mouth-nose protection is also mandatory in public transport.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"119";119;"Austria";"AUT";"Austria";"14/04/2020";"Returning to normal life";"Partial re-opening of shops";"smaller than 400 square metres + face masks mandatory";"";"only shops smaller than 400 square metres are allowed to reopen, and rules of wearing a mask and keeping a minimum distance of 1.5 meters are being enforced.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"120";120;"Austria";"AUT";"Austria";"17/03/2020";"Resource allocation";"Crisis management plans";"Implement repurpose community services plans";"Free parking";"Parking without a parking ticket is now permitted";"https://www.vindobona.org/article/coronavirus-in-austria-live-ticker"
"121";121;"Belgium";"BEL";"Belgium";"26/02/2020";"Healthcare and public health capacity";"Increase patient capacity";"Emergency hospitals";"";"Construction of container extension to hospital";"https://www.gva.be/cnt/dmf20200226_04865807/uz-antwerpen-bouwt-containerafdeling-voor-patienten-mogelijk-besmet-met-coronavirus"
"122";122;"Belgium";"BEL";"Belgium";"29/01/2020";"Travel restriction";"Cancellation of international flights";"Partial";"China";"";"https://www.vrt.be/vrtnws/nl/2020/01/29/buitenlandse-zaken-raadt-alle-niet-essentiele-reizen-naar-china/"
"123";123;"Belgium";"BEL";"Belgium";"13/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/"
"124";124;"Belgium";"BEL";"Belgium";"10/03/2020";"Social distancing";"Closure of educational institutions";"Reduction of excursions, out-of-house events";"";"Government recommendation";"https://www.zorg-en-gezondheid.be/versterkte-fase-2"
"125";125;"Belgium";"BEL";"Belgium";"03/02/2020";"Risk communication";"Educate and actively communicate with the public";"Activate communication to the public";"press conference, national TV";"Minister De Block mentioned there was no reason to panic and said Belgium could cope with the epidemic";"https://www.standaard.be/cnt/dmf20200301_04871378"
