"parent","link","child","value"
"Measures for public transport","L2-L3","Increase service",4
"Measures for public transport","L2-L3","Specific measures to avoid congestion",10
"Measures for special populations","L2-L3","",1
"Measures for special populations","L2-L3","Healthcare workers",1
"Measures for special populations","L2-L3","Mandatory home office",1
"Measures for special populations","L2-L3","Measures to limit contact to hospital patients",43
"Measures for special populations","L2-L3","Measures to limit contact to long-term care facilities",43
"Measures for special populations","L2-L3","Measures to limit contact to the elderly",30
"Measures for special populations","L2-L3","Measures to protect vulnerable populations",13
"Measures for special populations","L2-L3","Migrant labor camps",1
"Measures for special populations","L2-L3","Military Academy",1
"Measures for special populations","L2-L3","Military units and training camps",1
"Measures for special populations","L2-L3","More exposed professionals (not healthcare)",14
"Measures for special populations","L2-L3","People having outdoor activities",1
"Measures for special populations","L2-L3","Social institutions",1
"Measures for special populations","L2-L3","Traditional peoples and communities",1
"Measures for special populations","L2-L3","Travelers coming from outside state/country",1
"Measures to ensure continuity of services","L2-L3","Ensure the continuity of public services",2
"Measures to ensure continuity of services","L2-L3","Increase workforce for critical jobs",1
"Measures to ensure security of supply","L2-L3","Ban export of necessity goods",2
"Measures to ensure security of supply","L2-L3","Fixing price for medical supplies",6
"Measures to ensure security of supply","L2-L3","Fixing price for necessity goods",22
"Measures to ensure security of supply","L2-L3","Fixing price for specific protective products",19
"Measures to ensure security of supply","L2-L3","Increase delivery capacity for food products",10
"Measures to ensure security of supply","L2-L3","Increase delivery capacity for medical supplies",7
"Measures to ensure security of supply","L2-L3","Increase delivery capacity for necessity goods",5
"Measures to ensure security of supply","L2-L3","Insure access to gas/electricity/water/telecommunications",16
"Measures to ensure security of supply","L2-L3","Prohibition of the hoarding of goods",1
"Measures to ensure security of supply","L2-L3","State aid for fuel supply",1
"Measures to ensure security of supply","L2-L3","Trade agreement with another country",2
"Measures to ensure security of supply","L2-L3","Traffic enactments",6
"National lockdown","L2-L3","",24
"National lockdown","L2-L3","For 2 weeks",1
"National lockdown","L2-L3","for 21 days",1
"National lockdown","L2-L3","Safer-at-home Order",1
"National lockdown","L2-L3","Stay-at-home Order",12
"Personal protective measures","L2-L3","Enhance hand hygiene",16
"Personal protective measures","L2-L3","Mandatory physical barrier between workers and public",1
"Personal protective measures","L2-L3","Mandatory use of gloves",1
"Personal protective measures","L2-L3","Mandatory use of masks",57
"Personal protective measures","L2-L3","Mandatory use of PPE",4
"Personal protective measures","L2-L3","Precautions for handling and disposal of dead bodies",6
"Phase out emergency management","L2-L3","Lift state of emergency",4
"Phase out emergency management","L2-L3","Start of phase-out strategy plan",7
"Phase out emergency management","L2-L3","State of alert",1
"Police and army interventions","L2-L3","Against dissemination of fake news",2
"Police and army interventions","L2-L3","For cybersecurity",1
"Police and army interventions","L2-L3","Increase military forces",2
"Police and army interventions","L2-L3","Increase police forces",6
"Police and army interventions","L2-L3","To collect data and samples for tests",8
"Police and army interventions","L2-L3","To support essential workers",5
"Police and army interventions","L2-L3","To support law enforcement/sanction in case of no compliance",78
"Police and army interventions","L2-L3","To support the population",19
"Port and ship restriction","L2-L3","Deny entry to cruise ships",19
"Port and ship restriction","L2-L3","Deny entry to passengers from any port outside the country",1
"Port and ship restriction","L2-L3","Measures to limit contact to high risk populations",1
"Port and ship restriction","L2-L3","Prohibit non-essential activities of marine vessels",1
"Port and ship restriction","L2-L3","Reduce ferry transport service",1
"Port and ship restriction","L2-L3","Ship transports suspended",1
"Provide international help","L2-L3","Assistance on the cruise ship Diamond Princess",1
"Provide international help","L2-L3","Donate medical equipment",3
"Provide international help","L2-L3","Donate PPE",2
"Provide international help","L2-L3","Donating isolated viruses around the world for further research and PPE for Asian Countries",1
"Provide international help","L2-L3","Funding to support global efforts",11
"Provide international help","L2-L3","Send medical staff",1
"Public transport health check","L2-L3","Temperature screening to access public transports",4
"Public transport restriction","L2-L3","Partial",2
"Public transport restriction","L2-L3","Public transport ban",20
"Public transport restriction","L2-L3","Reduce service",4
"Public transport restriction","L2-L3","Suspension of all form of transports",1
"Public transport restriction","L2-L3","Train restriction",6
"Public transport restriction","L2-L3","Train traffic suspended",1
"Quarantine","L2-L3","Contact persons",26
"Quarantine","L2-L3","Incoming residents",8
"Quarantine","L2-L3","Incoming travelers",38
"Quarantine","L2-L3","Incomings from high-risk areas",89
"Quarantine","L2-L3","Nationals coming from high-risk areas",10
"Quarantine","L2-L3","Suspected cases",9
"Re-opening of educational institutions","L2-L3","Classes with exams only",5
"Re-opening of educational institutions","L2-L3","Educational institutions need an isolation center",1
"Re-opening of educational institutions","L2-L3","Examinations for certain universities",1
"Re-opening of educational institutions","L2-L3","Extracurricular activities allowed",1
"Re-opening of educational institutions","L2-L3","Office hours ",1
"Re-opening of educational institutions","L2-L3","Partial",4
"Re-opening of educational institutions","L2-L3","Practical classes",4
"Re-opening of educational institutions","L2-L3","Primary schools",1
"Re-opening of educational institutions","L2-L3","Primary schools and child care",2
"Re-opening of educational institutions","L2-L3","Re-opening all schools",1
"Re-opening of educational institutions","L2-L3","Re-opening art schools",1
"Re-opening of educational institutions","L2-L3","Re-opening of daycare centers",1
"Re-opening of educational institutions","L2-L3","Re-opening of kindergartens",1
"Re-opening of educational institutions","L2-L3","Re-opening of secondary schools",2
"Re-opening of educational institutions","L2-L3","Re-opening of universities",1
"Re-opening of educational institutions","L2-L3","Re-opening of university",1
"Re-opening of educational institutions","L2-L3","Re-opening of vocational technical colleges",1
"Re-opening of educational institutions","L2-L3","Rehabilitation and and special education classes",1
"Re-opening of educational institutions","L2-L3","Resume one-to-one courses",7
"Re-opening of educational institutions","L2-L3","Resumption of educational programmes for adults and immigrants",1
"Re-opening of educational institutions","L2-L3","Secondary schools",1
"Re-opening of educational institutions","L2-L3","Technical classes",1
"Re-opening of educational institutions","L2-L3","Universities",1
"Re-opening of land borders","L2-L3","For certain workers",1
"Re-opening of land borders","L2-L3","One crossing with Austria",1
"Re-opening of land borders","L2-L3","with Austria",2
"Re-opening of land borders","L2-L3","With Romania",1
