,Measure_L1,Measure_L2,Measure_L3,Measure_L4
550,Travel restriction,Airports closing for all international flights,Flights cutdown,The Latvian airline airBaltic suspended all flights
552,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,Emergency State is declared
553,Healthcare and public health capacity,Activate emergency response mechanisms,Implementing decree on emergency state,Decree on implementing the Emergency Powers Act is issued.
555,Risk communication,Call for return of nationals living abroad,,Finnish Government calls for all nationals travelling abroad to return to Finland.
556,Travel restriction,Cancellation of international flights,Nanjing and Beijing,Cancellation of Finnair routes to Nanjing and Beijing
559,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Coronavirus information points at airports and ports
561,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,"Launching of a cooperative team with the governement, media and social media influencers to ensure official communication about COVD-19 is reaching all population groups."
562,Risk communication,Educate and actively communicate with the public,Recommendation for home office,Work from home where possible
563,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Advice against travel to Hubei province.
565,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,All those returning to Finland from travel abroad are told to self-isolate for 14 days.
566,Healthcare and public health capacity,Increase healthcare workforce,Mobilization of domestic resources for health,
567,Healthcare and public health capacity,Increase healthcare workforce,Exception to work law allowed,Exceptions will be made to the provisions of the Working Hours Act and the Annual Holidays Act.
570,Social distancing,Mass gathering cancellation,Cultural events,"Theatres, cinemas, concerts, etc., until 13th April"
571,Social distancing,Mass gathering cancellation,Indoor activities,"fitness gym, music classes�, until 13th April"
572,Social distancing,Mass gathering cancellation,Rehabilitative work facilities,until 13th April
576,Travel restriction,Outgoing oversea travel ban,,
578,Healthcare and public health capacity,Research,Clinical trials on COVID-19,5 million euros
580,Social distancing,Small gathering cancellation,Limit up to 10 persons,Until 13th April
581,Travel restriction,Cordon sanitaire,One region,Movements to and from the region of Uusimaa will be restricted until 19th April.
582,"Case identification, contact tracing and related measures",Quarantine,Contact persons,Those known to have been in contact with a confirmed COVID-19 case are placed in quarantine.
583,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,Helicopter army to evacuate sick patients from Corsica to metropolitan France
584,Social distancing,Closure of educational institutions,Partial closure of educational institutions,3 schools
595,Social distancing,Closure of non-essential shops,,
596,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,300 milliard Euros
597,Travel restriction,Denial entry to boats with more than 100 passengers,Cruise ships,
598,Risk communication,Educate and actively communicate with the public,Answer to questions,Communcation with nationales living in China
599,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Posters at railway stations
600,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Radio and TV
601,Risk communication,Educate and actively communicate with the public,Information at airports,Flyers and posters at airports
603,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,Broadcasting of radio and television prevention spots
604,Risk communication,Actively communicate with healthcare professionals,Provide documentation,Provide documentation
