"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"470","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"472","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","Obligation to wear a face mask out of home"
"474","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial (22:00 to 6:00)"
"475","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial- (restaurants in shopping malls over 5000m^2)"
"476","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Persons coming from Lombardia and Venezia"
"477","Travel restriction","Border restriction","Entry ban for people from China","China"
"478","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, Norway, Belgium, United Kingdom, Denmark, France"
"479","Healthcare and public health capacity","Repurpose hospitals","Special section for covid19 patients","Severe cases"
"480","Travel restriction","Border restriction","Entry ban to non-citizens","Borders open for goods"
"481","Travel restriction","Border restriction","Entry ban to refugees",""
"483","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights : high-risk areas"
"484","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of secondary schools"
"487","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of primary schools"
"489","Risk communication","Educate and actively communicate with the public","Use of public transport","Discourage use of public transport"
"500","Social distancing","Mass gathering cancellation","Meetings of the parliament",""
"502","Social distancing","Measures for special populations","Measures to limit contact to the elderly","require all healthcare workers that have travelled to a region of high risk to stay at home for two weeks"
"503","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Strong recommendation that elderly do not take care of children."
"505","Social distancing","Measures for public transport","Increase service","More busses and trains added to the schedule"
"506","Social distancing","Measures for public transport","Specific measures to avoid congestion","Stricter limits on number of passengers allowed in public transports : Busses and trains"
"507","Case identification, contact tracing and related measures","Restriction in testing","Only people hospitalized with severe signs of respiratory illness will be tested",""
"509","Social distancing","Small gathering cancellation","Closure of non-essential shops","total"
"513","Travel restriction","Public transport restriction","Train restriction","Only reserved seats allowed"
"514","Travel restriction","Cordon sanitaire","One region","Ship in quarantaine for 14 days +"
"515","Case identification, contact tracing and related measures","Enhance detection system","Health screening","Self-screening of the temperature"
